index,Name,Platform,RatingOutOf20,Publisher,Year,Classification,Description,Genre
17,7 Wonders of the Ancient World,DS,10/20,Funsta,2007.0,+3 ans,"The 7 Wonders of the World are the subject of a puzzle game that some of you may have already had the opportunity to try on PC. More than a year late, 7 Wonders of the Ancient World is finally available on DS, PSP and PS2, for a result that hardly differs from the original title. This clone of Bejeweled also shows a lack of inspiration and renewal which makes it quite anecdotal.",Puzzle
18,A Boy and His Blob,Wii,16/20,Majesco Entertainment,2009.0,+7 ans,"A Boy and his Blob may not mean anything to young players. For the oldest, however, the simple mention of the name will blow a gentle wind of nostalgia into their memories. They will undoubtedly remember the first part released long ago on Nes or perhaps its sequel on Gameboy. After 19 years of silence and two failed resurrection attempts (on GBA then on DS), it is high time to find our boy and his famous Blob.",Platform
19,A Game of Thrones: Genesis,PC,14/20,Focus Home Interactive,2011.0,+12 ans,"Born in 1996 from the pen of George R. R. Martin, the Game of Thrones saga (A Song of Ice and Fire) has fascinated millions of readers around the world for 15 years. Already available in all flavors (TV series, comics, board games, role-playing or card games), here it is today adapted by Cyanide Montreal as part of an RTS that stands out from the rest of the production.",Strategy
21,The Golden Compass,DS,11/20,Sega,2007.0,+12 ans,"The now unmissable fantastic cinematic blockbuster of this end of year is called At the Crossroads of Worlds: The Golden Compass, and as usual is aimed at a young audience. Its video game version therefore had to not miss the DS meeting.",Action
23,The Golden Compass,PS2,13/20,Sega,2007.0,+12 ans,"A few days before the release of New Line Cinema's latest blockbuster, Sega is offering us the opportunity to play the mischievous Lyra in the official game of the film. Accompanied by Pan and Iroek, let's help her unravel the mysteries of the great outdoors of the Northern Kingdom.",Action
24,The Golden Compass,PS3,13/20,Sega,2007.0,+12 ans,"A few days before the release of New Line Cinema's latest blockbuster, Sega is offering us the opportunity to play the mischievous Lyra in the official game of the film. Accompanied by Pan and Iorek, let's help her unravel the mysteries of the great outdoors of the Northern Kingdom.",Action
25,A New Beginning,PC,16/20,Deep Silver,2010.0,+12 ans,"After The Sadwick Chronicles, a very pleasant point and click released last year, the developers of Daedalic Entertainment are back at it again by presenting us with A New Beginning, a new title also dedicated to adventure with a capital A.",Adventure
26,Lost in Shadow,Wii,16/20,Konami Digital Entertainment,2010.0,+12 ans,"Lurking in the shadow of the big end-of-year releases, A Shadow's Tale does not aim to resemble big productions full of shocking images and breathtaking action scenes. On the contrary, it is by drawing inspiration from the dreaminess of an Ico that Hudson Soft intends to reach an audience sensitive to poetry and enchantment. The bet more than succeeded!",Platform
27,A Vampyre Story,PC,13/20,Crimson Cow,2008.0,+7 ans,"Like Mona De Lafitte, the heroine of A Vampyre Story, the traditional adventure game oscillates between life and death. The preserve of a circle of nostalgic fans, he regularly gives himself to them for better and for worse. Ignorant of his fate, or pretending to be, he pursues his dreams without ever giving up. Courage, Mona: your time is approaching and your audience is waiting for you.",Adventure
28,Academy of Champions: Soccer,Wii,9/20,Ubisoft,2009.0,+3 ans,"Take a pot (and a big one). Start by pouring a good amount of Mario Smash Football, the famous football game with arcade gameplay. Expand this solid base with a few mini-games and an RPG dimension, like in Inazuma Eleven. Then pour in a few ladles of Olive & Tom and Harry Potter as a scenario and spice it all up with a visual style inspired by modern cartoons. Finally, sprinkle this delicious soup with a legendary footballer (King Pelé himself) and sales characters (the Rabbids and other Ubisoft heroes). What do you mean, indigestible?",Sports
29,Ace Attorney Investigations: Miles Edgeworth,DS,15/20,Capcom,2009.0,+12 ans,"The release of a new chapter in the Ace Attorney series is always an event not to be missed for those who have followed the legal adventures of Phoenix Wright since its beginnings. Ace Attorney Investigations: Miles Edgeworth was particularly anticipated, if only because it is the first time that we are given the opportunity to play a prosecutor and not a defense lawyer. Unfortunately, an unforeseen element came to play spoilsport and tarnish our enthusiasm for this new opus.",Adventure
30,Ace Attorney Investigations: Miles Edgeworth,DS,19/20,Capcom,2009.0,+3 ans,"After a first Ace Attorney Investigations released in Europe but only in English, Capcom this time decides to push the vice by only releasing its sequel in Japan, therefore depriving the rest of the world of an episode of a series that is nevertheless appreciated. Gyakuten Kenji 2, unofficially renamed by Western fans Ace Attorney Investigations Miles Edgeworth: Prosecutor’s Path, allows us to follow in the footsteps of the famous prosecutor Benjamin Hunter for a second time, accompanied by Inspector Dick Tektiv and his assistant Kay Faraday. The trio will have to elucidate numerous investigations, beneath which hide a much greater secret…",Adventure
31,Ace Combat: Assault Horizon,PS3,16/20,Namco Bandai Games,2011.0,+16 ans,"As the years went by, we longed to find the Ace Combat series on our Playstation 3. It is now done with the release of Assault Horizon, an original episode announced as revolutionary. Between arcade shooter, aerial simulation and interactive film, does this ambitious software keep its promises? Answer in this test.",Action
32,Ace Combat 04: Shattered Skies,PS2,14/20,Sony Computer Entertainment Europe,2001.0,+12 ans,"Ace Combat 4 rushes into the wake traced by Top Gun: Combat Zones, and misses its target to finally crash into the pantheon of productions without any real flavor. The game is far from bad, but it will disappoint those who were hoping for something other than a pure arcade game. Faithful to itself and its predecessors, this fourth part of the series does not have all the epic breath that we hoped for from it.",Simulation
33,Ace Combat Zero: The Belkan War,PS2,15/20,Namco Bandai Games,2006.0,+12 ans,"The undisputed leader in large-scale aerial conflict, the Ace Combat series continues to hover nimbly above the clouds of the video game market. Synonymous with immediate pleasure and a whirlwind of sensations, the latter is also adorned with heavy in-depth work on the creation of an atmosphere, a strong context. Mixing obvious cinematographic codes and taking up the cement on which its predecessors were built, Ace Combat Zero once again taunts the gods by displaying an almost mystical mastery of the sky. Is there nothing that can slow down this metal bird?",Simulation
34,Ace Combat 5: The Unsung War,PS2,15/20,Sony Computer Entertainment Europe,2004.0,+12 ans,"Splitting the clouds in two in a metallic whirlwind, reducing the chains of gravity to nothing, gracefully following these tumultuous and silky aerial rivers, materializing freedom in a sudden embrace. Here are snippets of what staged aerial sweeps can evoke simply through your skill, but also through a certain appeal to feverish emotion. Ace Combat fifth of the name, it is first of all entertainment indeed, but it is also a space of dreaminess, of lightness, bathed in a horizon of playful pleasure. All this in the same game? Well, yeah. But let me tell you these stories that only the inhabitants of heaven know.",Simulation
35,Ace Combat: Joint Assault,PSP,14/20,Namco Bandai Games,2010.0,+12 ans,"Reconnecting with the PSP, Ace Combat this time invites us to soar above very real megalopolises. Of course, dogfights are once again in the spotlight but what about the sensations and the scenario? This is what we invite you to discover through the following lines.",Simulation
36,Ace Combat X: Skies of Deception,PSP,15/20,Namco Bandai Games,2006.0,+12 ans,"Almost as old as a Bad-Pitre, the Ace Combat series never stops spawning babies on PS2 and now on PSP. Skies Of Deception (well, Namco's marketers are less superstitious than those of Midway) therefore uses the good old aerial dogfight recipe while trying as best they can to adapt to console support. If the bet was not won in advance, we can say that it is the experience which makes the difference here.",Simulation
37,Magnetica,DS,13/20,Nintendo,2006.0,+3 ans,"Let me introduce you to Actionloop on DS, a software for speed and reflection, even reflection and speed, with colored balls which clump together in single file in tortuous pipes to better keep you under pressure. The puzzle game is a category particularly well represented on Nintendo's touch console. Between the updated version of Tetris, a psychedelic Meteos and Polarium, does Actionloop have what it takes to carve out its cozy little nest in the game library of players?",Puzzle
38,Activision Anthology,PS2,9/20,Activision,2002.0,+3 ans,"Activision invites us to a little nostalgia and invites us to immerse ourselves in the 80s with Activision Anthology. Here is a compilation dedicated to titles that were released in cartridge form for Atari 2600, for a little excursion into the prehistory of video games.",Misc
39,Advance Guardian Heroes,GBA,9/20,Ubisoft,2004.0,+3 ans,"The fashion has long been for the adaptation of old titles on GBA and when it is not a question of the resurrection of a hit forgotten by all, it is a question of offering it a sequel. This time, it's Guardian Heroes that's doing it. After the heyday of the Saturn, here it is arriving on the Nintendo laptop.",Role-Playing
40,Advance Wars,GBA,18/20,Nintendo,2001.0,+3 ans,"The GBA once again welcomes a real little bomb into its ranks. Straight from Nintendo studios, Advance Wars is a very complete but also very accessible strategy game.",Strategy
42,Advance Wars: Dual Strike,DS,18/20,Nintendo,2005.0,+7 ans,"The prestigious Advance Wars series finally lands on the Nintendo DS with an episode just as polished and even more effective than its predecessors, which is already a feat. Once again, the series developed by Intelligent Systems risks giving a taste for turn-based strategy to many players who would not have thought they could succumb to it. Like Fire Emblem, Advance Wars: Dual Strike is a must to discover the value of strategy and tactics games on a portable console.",Strategy
43,Advance Wars 2: Black Hole Rising,GBA,18/20,Nintendo,2003.0,+7 ans,"The sequel to the famous Advance Wars is making its comeback on Gameboy Advance and is likely to generate similar enthusiasm from many fans of turn-based military strategy. A definitively impeccable series, but a second opus which surprises much less than its predecessor.",Strategy
44,Afrika,PS3,18/20,Unknown,2008.0,Unknown,"Nants ingonyama bagithi Baba, Sithi uhm ingonyama… If you can understand these few words, either you are a fan of The Lion King of which these are the first words, or you have learned Swahili as a second language. Whatever the case, you know Africa. The golden sun against a blood-red sky, herds of elephants foraging at dawn... Does that tempt you? Forget expensive plane tickets and sunscreen: Afrika (Hakuna Matata for the Asian version) offers you this unique opportunity. All you have to do is warm up the PS3 as a 4X4 and off you go for an unforgettable safari, guaranteed malaria-free!",Adventure
45,Afro Samurai,PS3,15/20,Atari,2009.0,+18 ans,"Afro Samurai had already caused a lot of bloodshed before arriving on our consoles. He started by getting his hands on the pages of a manga before seeing his adventures adapted into an anime. Afro's Revenge now takes the form of a beat'em all which respects the atmosphere of the series particularly well. For the occasion, you will find a very special soundtrack that will appeal to all anime fans.",Action
47,Agatha Christie: And Then There Were None,Wii,13/20,The Adventure Company,2008.0,+12 ans,"“Dix Petits Nègres” is an adventure game based on the famous book of the same name by Agatha Christie, which is said to be the best-selling detective novel in the world. Already released on PC more than two years ago, it has now joined the ever-growing ranks of point & click games adapted for Wii.",Adventure
48,Age of Conan: Rise of the Godslayer,PC,16/20,Funcom,2010.0,+18 ans,"Released in 2008, the MMORPG Age of Conan now offers its first Asian-inspired expansion, Rise of the Godslayer. This is the perfect opportunity for Funcom, its publisher, to invite all deserters to come back and see what has become of the most famous premature of the genre in the meantime.",Role-Playing
49,Age of Empires: Mythologies,DS,16/20,THQ,2008.0,+12 ans,"After Age of Empires II: The Age of Kings, it's the turn of Age of Mythology, another PC hit from Ensemble Studios, to be brought to the DS. Like its predecessor, this Age of Empires: Mythologies leaves the field of real-time strategy to join that, more suited to Nintendo's portable, of turn-based. And as long as he corrects the few flaws, he could well attract the favor of the gods. Or at least yours.",Strategy
50,Age of Empires: The Age of Kings,DS,16/20,THQ,2006.0,+12 ans,"Age Of Empire is a careful and generous series. Passionate about their subject, Bruce Shelley, the author of the concept, and his colleagues even offered Microsoft a production model when they began developing games, a long time ago. Did Digital Eclipse use these very sound foundations to develop this adaptation for Nintendo DS?",Strategy
51,Age of Empires II: The Age of Kings,PC,17/20,Microsoft Game Studios,1999.0,+12 ans,"Age of Empires first of the name had won millions of fans around the world by giving a more ""historical"" aspect than what RTS like Starcraft or Command & Conquer had offered until now while combining breathtaking graphic quality . Age of Empires 2 is therefore supposed to once again set the record straight. Test.",Strategy
52,Age of Empires III,PC,14/20,Microsoft Game Studios,2005.0,+12 ans,"At the end of 2005, Age of Empires, the third of the name, was released. At the end of 2006, it was the turn of The Warchiefs, its first expansion, to see the light of day. We are at the end of 2007, so it is logically time to return to the series with the release of a second expansion. Here it arrives with clockwork regularity, which is also found in the now classic mechanisms of the game.",Strategy
53,Age of Empires III,PC,15/20,Microsoft Game Studios,2005.0,+12 ans,"It's a bit of a tradition, each Age of Empires opus is entitled to its expansion. The third part is no exception to the rule and Ensemble Studios therefore offers us The WarChiefs, an add-on which brings three Native American civilizations but also a new campaign and some new features concerning European peoples. Let's see that right away.",Strategy
54,Age of Empires III,PC,16/20,Microsoft Game Studios,2005.0,+12 ans,"The Age Of Empires series takes off and sails towards the new continent. The third part follows directly from its predecessor ""Age of Kings"" and takes us to the beginning of the 16th century, an era rich in discoveries and marked by the conquest of America. An ideal setting for a highly anticipated real-time strategy game.",Strategy
55,Age of Empires Online,PC,17/20,Microsoft Game Studios,2011.0,+12 ans,"There were fears that it would disappear after the dissolution of Ensemble Studios, but the Age of Empires series had not said its last word! Here it is back in an exclusively online section, very much in tune with the times. Architected like a web game and equipped with a free-to-play economic model, Age of Empires Online surprises above all with its cartoon graphics, where the series has always advocated a certain historical seriousness. Another license sacrificed on the altar of the general public?",Strategy
56,Age of Mythology,PC,18/20,Microsoft Game Studios,2002.0,+12 ans,"Here's one that we've been waiting for for quite a while and after a rather promising preview version of Age Of Mythology, the definitive version is finally here to our great delight. It's not complicated, we literally fell under the spell of this new title from Ensemble Studios, endowed with surprising richness, meticulous production and a background which offers the luxury of being a bit cultural, in short, AOM was shaping up to be a mega hit, and that's good, it's one...",Strategy
57,Age of Mythology: The Titans,PC,17/20,Microsoft Game Studios,2003.0,+12 ans,"Released almost a year ago, Age Of Mythology finally has an add-on. Let's say it right away, this extension of the Microsoft hit is nothing more and nothing less than an essential for any fan of the series. Sublime, magnificent, astonishing, complete, enjoyable, so many adjectives that fit Age Of Mythology: The Titans like a glove. If you thought you would be stuck in your role as a puny human all your life, take the lead by shoving the AoM add-on into your player and master the divine powers to lead your people to victory.",Strategy
58,Aggressive Inline,PS2,16/20,Acclaim Entertainment,2002.0,+3 ans,"In the extreme sports family, we knew about skateboarding, BMX and snowboarding but no one had yet thought of using rollerblading. This is now done thanks to Z-Axis, a studio already familiar with the discipline since author of the Dave Mirra series. For Aggressive Inline, if we still stay in the trip tricks galore, we are still entitled to several more than appreciable new features. And that's good.",Sports
59,Air Conflicts: Secret Wars,PC,12/20,bitComposer Games,2011.0,+12 ans,"Aerial shooters are no longer really in fashion these days on both PC and consoles. However, we still see them released quite regularly on the market. After the very convincing IL-2 Sturmovik and a recent rather nice Heroes over Europe, here is Air Conflicts: Secret Wars, the latest in the genre.",Simulation
60,Air Conflicts: Secret Wars,PS3,12/20,bitComposer Games,2011.0,+12 ans,"Aerial shooters are no longer really in fashion these days on both PC and consoles. However, we still see them released quite regularly on the market. After the very convincing IL-2 Sturmovik and a rather nice Heroes over Europe, here is Air Conflicts: Secret Wars, the latest addition to the genre.",Simulation
61,Airborne Troops: Countdown to D-Day,PS2,7/20,Playlogic Game Factory,2005.0,+12 ans,"What do you do when you don't have much imagination and absolutely want to develop a game? You can either buy the rights to an old license to bring it up to date, or observe the market, identify the types of games that work and try to do the same thing. This is surely the method that was used for Airborne Troops.",Shooter
62,Airline Tycoon,PC,13/20,Interplay,2000.0,Unknown,"Addicts of the management game should watch out, Monte Cristo, faithful to its choice of publishing management titles, offers them the opportunity to slip into the shoes of the manager of an airline. A software with a humorous tone for a completely serious activity...",Simulation
63,Akiba's Trip: Undead & Undressed,PS4,8/20,Acquire,2014.0,+16 ans,"Following a PSP game that remained exclusive to the Japanese market, Akiba's Trip: Undead & Undressed is not necessarily the title that we most expected to see arrive here. And yet, after having made its mark a few months ago on Vita and PS3, here it is again on PS4 in a version “enriched” with some bonuses. Good or bad news ?",Action
64,Alan Wake,PC,17/20,Nordic Games,2012.0,+16 ans,"Alan Wake has come a long way. Announced in 2005, this “psychological thriller” drawing its inspiration from Stephen King suffered multiple delays, before seeing its PC release squarely called into question. Here he finally shows up. Is it too late, or was it worth waiting this long? This is the question that we will answer in the following lines, advising you to jump directly to the last paragraph if you want to know the specifics of this version.",Action
66,Horsez,DS,7/20,Ubisoft,2006.0,+3 ans,"There are times when you have to know how to swallow your pride and admit your ignorance. Let's admit it, the Alexandra Ledermann phenomenon is beyond us, unanimously appreciated by casual players and leaving everyone else in complete perplexity. Despite a general quality which does not tend to improve over the episodes, the series clearly sees its popularity growing a little more each year, even taking the Nintendo DS by storm.",Simulation
67,Horsez,DS,6/20,Ubisoft,2006.0,+3 ans,"With riding games on the rise, any title of the genre ensures a large potential audience. The other side of the coin: the need to have enough arguments to stand out from the competition. Horse and Pony: My Stud therefore takes the challenge of attracting these young ladies with a pronounced management dimension.",Simulation
68,Alias,PS2,11/20,Acclaim Entertainment,2004.0,+3 ans,"If I had to define the Alias ​​series, I would say that it is like a mix between James Bond and Nikita. The Show, admirably constructed both from a script point of view and in terms of action, is for my part one of the series which will have had the most effect on me in recent years (disregarding Millenium, d 'X-Files, 24 Hours Chrono not to mention THE show, The Twilight Zone) due to its breathtaking pace, its hand-picked actors and its cocktail of suspense, revelations, intense moments and surprising action scenes . In short, the series had to give rise to a video game adaptation and this is how a software called Alias ​​was born from the hands of the developers of Acclaim.",Action
69,Alice: Madness Returns,PC,16/20,Electronic Arts,2011.0,+12 ans,"Do you have the impression that the small world of video games tends to go around in circles and produce titles that are too sanitized? However, there are games that escape the prevailing conformism. American Mc Gee's Alice was a good example: the title gave us a trashy version of Lewis Carroll's novels by depicting a devastated Wonderland and a totally crazy Alice. The famous American Mc Gee returns today to the kitchen to offer us a sequel in the same spirit as his predecessor.",Adventure
70,Alice: Madness Returns,PS3,16/20,Electronic Arts,2011.0,+12 ans,"Do you have the impression that the small world of video games tends to go around in circles and produce titles that are too sanitized? However, there are games that escape the prevailing conformity. American Mc Gee's Alice was a good example: the title gave us a trashy version of Lewis Carroll's novels by depicting a devastated Wonderland and a totally crazy Alice. The famous American Mc Gee returns today to the kitchen to offer us a sequel in the same spirit as his predecessor.",Adventure
71,Alice in Wonderland,Wii,14/20,Disney Interactive Studios,2010.0,+3 ans,Little Alice imagined by Lewis Carroll has grown up but she has retained her admiration for white rabbits. It is again by following this cursed creature that she will once again dive into the wacky universe that she had already explored. Unfortunately things have not improved since her last visit and the Red Queen does not make life easy for her subjects.,Adventure
72,Alice in Wonderland,DS,15/20,Disney Interactive Studios,2010.0,Unknown,"By offering a different rereading of the work of Lewis Caroll, Tim Burton has taken over a universe in order to reshape it according to his own vision of things, his own sensitivity. It is therefore logical that the video game adaptation follows the same path. However, if Etranges Libellules wanted to preserve this gothic atmosphere through a real graphic bias, the developers did not neglect the substance. Story of a forgotten dream...",Adventure
73,Alien: Isolation,PS4,16/20,Sega,2014.0,+18 ans,"After the disarray that was Aliens: Colonial Marines, Sega had to react by completely overhauling its copy. The result was therefore not long in coming since in parallel with a change of studio, we went from an FPS &#47; Action in an infiltration-oriented game synonymous with a gigantic game of hide-and-seek, harking back in idea to Ridley Scott's very first feature film. Daring bias for an exciting and logical concept in certain ways. Now, in reality, does the result live up to the ambitions displayed by the Creative Assembly studio? Here are some answers.",Shooter
74,Alien: Isolation,PC,16/20,Sega,2014.0,+18 ans,"After the disarray that was Aliens: Colonial Marines, Sega had to react by completely overhauling its copy. The result was therefore not long in coming since in parallel with a change of studio, we went from an FPS &#47; Action in an infiltration-oriented game synonymous with a gigantic game of hide-and-seek, harking back in idea to Ridley Scott's very first feature film. Daring bias for an exciting and logical concept in certain ways. Now, in reality, does the result live up to the ambitions displayed by the Creative Assembly studio? Here are some answers.",Shooter
75,Alien: Isolation,PS3,16/20,Sega,2014.0,+18 ans,"After the disarray that was Aliens: Colonial Marines, Sega had to react by completely overhauling its copy. The result was therefore not long in coming since in parallel with a change of studio, we went from an FPS &#47; Action in an infiltration-oriented game synonymous with a gigantic game of hide-and-seek, harking back in idea to Ridley Scott's very first feature film. Daring bias for an exciting and logical concept in certain ways. Now, in reality, does the result live up to the ambitions displayed by the Creative Assembly studio? Here are some answers.",Shooter
76,Alien Hominid,PS2,15/20,Zoo Digital Publishing,2004.0,+3 ans,"Nostalgic for video games from 15 years ago, this test is for you. Do you have fond memories of the arcade machines that you mechanically fed with 5 franc coins (or even 10 if it was pocket money day) so that you could continue your game without having to start from the beginning? Do you also find that today's games lack challenge? I have the game you need. It's called Alien Hominid and it's super mega heavy.",Shooter
77,Alien Syndrome,Wii,9/20,Sega,2007.0,+12 ans,"There is no denying that Sega truly excels in the delicate art of dusting off old, glorious licenses that have been forgotten by most. On today's menu, Alien Syndrome, a title which was born in 1987 and performed with talent on imposing arcade terminals. Available on several other supports, from the Amiga to the battery eater otherwise known as Game Gear, Alien Syndrome took almost 15 years to come back to us. And the main thing now is to see if this comeback is really worth it.",Role-Playing
78,Alien Syndrome,PSP,9/20,Sega,2007.0,+12 ans,"There is no denying that Sega truly excels in the delicate art of dusting off old, glorious licenses that have been forgotten by most. On today's menu, Alien Syndrome, a title which was born in 1987 and performed with talent on imposing arcade terminals. Available on several other supports, from the Amiga to the battery eater otherwise known as Game Gear, Alien Syndrome took almost 15 years to come back to us. And the main thing now is to see if this comeback is really worth it, or if it is more of a damp squib.",Role-Playing
79,Aliens: Colonial Marines,PS3,6/20,Sega,2013.0,+18 ans,"Poor, poor Aliens license that no one wants to treat properly since the first two Aliens vs Predator. Paradoxically, the work of Ridley Scott has been a major source of inspiration for video games but has always had difficulty feeling comfortable with it. Colonial Marines is probably the worst adaptation of Alien, as bad in its gameplay as in respecting the canons of the universe.",Shooter
80,Aliens: Colonial Marines,PC,6/20,Sega,2013.0,+18 ans,"Poor, poor Aliens license that no one wants to treat properly since the first two Aliens vs Predator. Paradoxically, the work of Ridley Scott has been a major source of inspiration for video games but has always had difficulty feeling comfortable with it. Colonial Marines is probably the worst adaptation of Alien, as bad in its gameplay as in respecting the canons of the universe.",Shooter
81,Aliens: Infestation,DS,14/20,Sega,2011.0,+16 ans,"As is often the case with large licenses, we can count by the dozens the number of games adapted from the films or the Aliens universe. As soon as The Eighth Passenger was released in cinemas, the Xenomorphs became cult monsters, notably thanks to the disturbing design of H.R. Giger. But all these video game adaptations have failed to pay homage to the saga as it should... What will happen to Aliens Infestation?",Action
82,Aliens vs Predator,PC,12/20,Sega,2010.0,+18 ans,"More than 10 years after delivering the illustrious Alien vs Predator on PC, Rebellion is trying its luck again for a new episode. But in ten years, things happen. For example, a development studio can lose its splendor.",Shooter
