Name,Platform,Tags
A New Beginning,PC,"after the sadwick chronicles, a very pleasant point and click released last year, the developers of daedalic entertainment are back at it again by presenting us with a new beginning, a new title also dedicated to adventure with a capital a. adventure deep silver"
Lost in Shadow,Wii,"lurking in the shadow of the big end-of-year releases, a shadow's tale does not aim to resemble big productions full of shocking images and breathtaking action scenes. on the contrary, it is by drawing inspiration from the dreaminess of an ico that hudson soft intends to reach an audience sensitive to poetry and enchantment. the bet more than succeeded! platform konami digital entertainment"
A Vampyre Story,PC,"like mona de lafitte, the heroine of a vampyre story, the traditional adventure game oscillates between life and death. the preserve of a circle of nostalgic fans, he regularly gives himself to them for better and for worse. ignorant of his fate, or pretending to be, he pursues his dreams without ever giving up. courage, mona: your time is approaching and your audience is waiting for you. adventure crimson cow"
Academy of Champions: Soccer,Wii,"take a pot (and a big one). start by pouring a good amount of mario smash football, the famous football game with arcade gameplay. expand this solid base with a few mini-games and an rpg dimension, like in inazuma eleven. then pour in a few ladles of olive & tom and harry potter as a scenario and spice it all up with a visual style inspired by modern cartoons. finally, sprinkle this delicious soup with a legendary footballer (king pelé himself) and sales characters (the rabbids and other ubisoft heroes). what do you mean, indigestible? sports ubisoft"
Ace Attorney Investigations: Miles Edgeworth,DS,"the release of a new chapter in the ace attorney series is always an event not to be missed for those who have followed the legal adventures of phoenix wright since its beginnings. ace attorney investigations: miles edgeworth was particularly anticipated, if only because it is the first time that we are given the opportunity to play a prosecutor and not a defense lawyer. unfortunately, an unforeseen element came to play spoilsport and tarnish our enthusiasm for this new opus. adventure capcom"
Ace Attorney Investigations: Miles Edgeworth,DS,"after a first ace attorney investigations released in europe but only in english, capcom this time decides to push the vice by only releasing its sequel in japan, therefore depriving the rest of the world of an episode of a series that is nevertheless appreciated. gyakuten kenji 2, unofficially renamed by western fans ace attorney investigations miles edgeworth: prosecutor’s path, allows us to follow in the footsteps of the famous prosecutor benjamin hunter for a second time, accompanied by inspector dick tektiv and his assistant kay faraday. the trio will have to elucidate numerous investigations, beneath which hide a much greater secret… adventure capcom"
Ace Combat: Assault Horizon,PS3,"as the years went by, we longed to find the ace combat series on our playstation 3. it is now done with the release of assault horizon, an original episode announced as revolutionary. between arcade shooter, aerial simulation and interactive film, does this ambitious software keep its promises? answer in this test. action namco bandai games"
Ace Combat 04: Shattered Skies,PS2,"ace combat 4 rushes into the wake traced by top gun: combat zones, and misses its target to finally crash into the pantheon of productions without any real flavor. the game is far from bad, but it will disappoint those who were hoping for something other than a pure arcade game. faithful to itself and its predecessors, this fourth part of the series does not have all the epic breath that we hoped for from it. simulation sony computer entertainment europe"
Ace Combat Zero: The Belkan War,PS2,"the undisputed leader in large-scale aerial conflict, the ace combat series continues to hover nimbly above the clouds of the video game market. synonymous with immediate pleasure and a whirlwind of sensations, the latter is also adorned with heavy in-depth work on the creation of an atmosphere, a strong context. mixing obvious cinematographic codes and taking up the cement on which its predecessors were built, ace combat zero once again taunts the gods by displaying an almost mystical mastery of the sky. is there nothing that can slow down this metal bird? simulation namco bandai games"
Ace Combat 5: The Unsung War,PS2,"splitting the clouds in two in a metallic whirlwind, reducing the chains of gravity to nothing, gracefully following these tumultuous and silky aerial rivers, materializing freedom in a sudden embrace. here are snippets of what staged aerial sweeps can evoke simply through your skill, but also through a certain appeal to feverish emotion. ace combat fifth of the name, it is first of all entertainment indeed, but it is also a space of dreaminess, of lightness, bathed in a horizon of playful pleasure. all this in the same game? well, yeah. but let me tell you these stories that only the inhabitants of heaven know. simulation sony computer entertainment europe"
Ace Combat: Joint Assault,PSP,"reconnecting with the psp, ace combat this time invites us to soar above very real megalopolises. of course, dogfights are once again in the spotlight but what about the sensations and the scenario? this is what we invite you to discover through the following lines. simulation namco bandai games"
Ace Combat X: Skies of Deception,PSP,"almost as old as a bad-pitre, the ace combat series never stops spawning babies on ps2 and now on psp. skies of deception (well, namco's marketers are less superstitious than those of midway) therefore uses the good old aerial dogfight recipe while trying as best they can to adapt to console support. if the bet was not won in advance, we can say that it is the experience which makes the difference here. simulation namco bandai games"
Magnetica,DS,"let me introduce you to actionloop on ds, a software for speed and reflection, even reflection and speed, with colored balls which clump together in single file in tortuous pipes to better keep you under pressure. the puzzle game is a category particularly well represented on nintendo's touch console. between the updated version of tetris, a psychedelic meteos and polarium, does actionloop have what it takes to carve out its cozy little nest in the game library of players? puzzle nintendo"
Activision Anthology,PS2,"activision invites us to a little nostalgia and invites us to immerse ourselves in the 80s with activision anthology. here is a compilation dedicated to titles that were released in cartridge form for atari 2600, for a little excursion into the prehistory of video games. misc activision"
Advance Guardian Heroes,GBA,"the fashion has long been for the adaptation of old titles on gba and when it is not a question of the resurrection of a hit forgotten by all, it is a question of offering it a sequel. this time, it's guardian heroes that's doing it. after the heyday of the saturn, here it is arriving on the nintendo laptop. role-playing ubisoft"
Advance Wars,GBA,"the gba once again welcomes a real little bomb into its ranks. straight from nintendo studios, advance wars is a very complete but also very accessible strategy game. strategy nintendo"
Advance Wars: Dual Strike,DS,"the prestigious advance wars series finally lands on the nintendo ds with an episode just as polished and even more effective than its predecessors, which is already a feat. once again, the series developed by intelligent systems risks giving a taste for turn-based strategy to many players who would not have thought they could succumb to it. like fire emblem, advance wars: dual strike is a must to discover the value of strategy and tactics games on a portable console. strategy nintendo"
Advance Wars 2: Black Hole Rising,GBA,"the sequel to the famous advance wars is making its comeback on gameboy advance and is likely to generate similar enthusiasm from many fans of turn-based military strategy. a definitively impeccable series, but a second opus which surprises much less than its predecessor. strategy nintendo"
Afrika,PS3,"nants ingonyama bagithi baba, sithi uhm ingonyama… if you can understand these few words, either you are a fan of the lion king of which these are the first words, or you have learned swahili as a second language. whatever the case, you know africa. the golden sun against a blood-red sky, herds of elephants foraging at dawn... does that tempt you? forget expensive plane tickets and sunscreen: afrika (hakuna matata for the asian version) offers you this unique opportunity. all you have to do is warm up the ps3 as a 4x4 and off you go for an unforgettable safari, guaranteed malaria-free! adventure unknown"
Afro Samurai,PS3,"afro samurai had already caused a lot of bloodshed before arriving on our consoles. he started by getting his hands on the pages of a manga before seeing his adventures adapted into an anime. afro's revenge now takes the form of a beat'em all which respects the atmosphere of the series particularly well. for the occasion, you will find a very special soundtrack that will appeal to all anime fans. action atari"
Agatha Christie: And Then There Were None,Wii,"“dix petits nègres” is an adventure game based on the famous book of the same name by agatha christie, which is said to be the best-selling detective novel in the world. already released on pc more than two years ago, it has now joined the ever-growing ranks of point & click games adapted for wii. adventure the adventure company"
Age of Conan: Rise of the Godslayer,PC,"released in 2008, the mmorpg age of conan now offers its first asian-inspired expansion, rise of the godslayer. this is the perfect opportunity for funcom, its publisher, to invite all deserters to come back and see what has become of the most famous premature of the genre in the meantime. role-playing funcom"
Age of Empires: Mythologies,DS,"after age of empires ii: the age of kings, it's the turn of age of mythology, another pc hit from ensemble studios, to be brought to the ds. like its predecessor, this age of empires: mythologies leaves the field of real-time strategy to join that, more suited to nintendo's portable, of turn-based. and as long as he corrects the few flaws, he could well attract the favor of the gods. or at least yours. strategy thq"
Age of Empires: The Age of Kings,DS,"age of empire is a careful and generous series. passionate about their subject, bruce shelley, the author of the concept, and his colleagues even offered microsoft a production model when they began developing games, a long time ago. did digital eclipse use these very sound foundations to develop this adaptation for nintendo ds? strategy thq"
Age of Empires II: The Age of Kings,PC,"age of empires first of the name had won millions of fans around the world by giving a more ""historical"" aspect than what rts like starcraft or command & conquer had offered until now while combining breathtaking graphic quality . age of empires 2 is therefore supposed to once again set the record straight. test. strategy microsoft game studios"
Age of Empires III,PC,"at the end of 2005, age of empires, the third of the name, was released. at the end of 2006, it was the turn of the warchiefs, its first expansion, to see the light of day. we are at the end of 2007, so it is logically time to return to the series with the release of a second expansion. here it arrives with clockwork regularity, which is also found in the now classic mechanisms of the game. strategy microsoft game studios"
Age of Empires III,PC,"it's a bit of a tradition, each age of empires opus is entitled to its expansion. the third part is no exception to the rule and ensemble studios therefore offers us the warchiefs, an add-on which brings three native american civilizations but also a new campaign and some new features concerning european peoples. let's see that right away. strategy microsoft game studios"
Age of Empires III,PC,"the age of empires series takes off and sails towards the new continent. the third part follows directly from its predecessor ""age of kings"" and takes us to the beginning of the 16th century, an era rich in discoveries and marked by the conquest of america. an ideal setting for a highly anticipated real-time strategy game. strategy microsoft game studios"
Age of Empires Online,PC,"there were fears that it would disappear after the dissolution of ensemble studios, but the age of empires series had not said its last word! here it is back in an exclusively online section, very much in tune with the times. architected like a web game and equipped with a free-to-play economic model, age of empires online surprises above all with its cartoon graphics, where the series has always advocated a certain historical seriousness. another license sacrificed on the altar of the general public? strategy microsoft game studios"
Age of Mythology,PC,"here's one that we've been waiting for for quite a while and after a rather promising preview version of age of mythology, the definitive version is finally here to our great delight. it's not complicated, we literally fell under the spell of this new title from ensemble studios, endowed with surprising richness, meticulous production and a background which offers the luxury of being a bit cultural, in short, aom was shaping up to be a mega hit, and that's good, it's one... strategy microsoft game studios"
Age of Mythology: The Titans,PC,"released almost a year ago, age of mythology finally has an add-on. let's say it right away, this extension of the microsoft hit is nothing more and nothing less than an essential for any fan of the series. sublime, magnificent, astonishing, complete, enjoyable, so many adjectives that fit age of mythology: the titans like a glove. if you thought you would be stuck in your role as a puny human all your life, take the lead by shoving the aom add-on into your player and master the divine powers to lead your people to victory. strategy microsoft game studios"
Aggressive Inline,PS2,"in the extreme sports family, we knew about skateboarding, bmx and snowboarding but no one had yet thought of using rollerblading. this is now done thanks to z-axis, a studio already familiar with the discipline since author of the dave mirra series. for aggressive inline, if we still stay in the trip tricks galore, we are still entitled to several more than appreciable new features. and that's good. sports acclaim entertainment"
Air Conflicts: Secret Wars,PC,"aerial shooters are no longer really in fashion these days on both pc and consoles. however, we still see them released quite regularly on the market. after the very convincing il-2 sturmovik and a recent rather nice heroes over europe, here is air conflicts: secret wars, the latest in the genre. simulation bitcomposer games"
Air Conflicts: Secret Wars,PS3,"aerial shooters are no longer really in fashion these days on both pc and consoles. however, we still see them released quite regularly on the market. after the very convincing il-2 sturmovik and a rather nice heroes over europe, here is air conflicts: secret wars, the latest addition to the genre. simulation bitcomposer games"
Airborne Troops: Countdown to D-Day,PS2,"what do you do when you don't have much imagination and absolutely want to develop a game? you can either buy the rights to an old license to bring it up to date, or observe the market, identify the types of games that work and try to do the same thing. this is surely the method that was used for airborne troops. shooter playlogic game factory"
Airline Tycoon,PC,"addicts of the management game should watch out, monte cristo, faithful to its choice of publishing management titles, offers them the opportunity to slip into the shoes of the manager of an airline. a software with a humorous tone for a completely serious activity... simulation interplay"
Akiba's Trip: Undead & Undressed,PS4,"following a psp game that remained exclusive to the japanese market, akiba's trip: undead & undressed is not necessarily the title that we most expected to see arrive here. and yet, after having made its mark a few months ago on vita and ps3, here it is again on ps4 in a version “enriched” with some bonuses. good or bad news ? action acquire"
Alan Wake,PC,"alan wake has come a long way. announced in 2005, this “psychological thriller” drawing its inspiration from stephen king suffered multiple delays, before seeing its pc release squarely called into question. here he finally shows up. is it too late, or was it worth waiting this long? this is the question that we will answer in the following lines, advising you to jump directly to the last paragraph if you want to know the specifics of this version. action nordic games"
Horsez,DS,"there are times when you have to know how to swallow your pride and admit your ignorance. let's admit it, the alexandra ledermann phenomenon is beyond us, unanimously appreciated by casual players and leaving everyone else in complete perplexity. despite a general quality which does not tend to improve over the episodes, the series clearly sees its popularity growing a little more each year, even taking the nintendo ds by storm. simulation ubisoft"
Horsez,DS,"with riding games on the rise, any title of the genre ensures a large potential audience. the other side of the coin: the need to have enough arguments to stand out from the competition. horse and pony: my stud therefore takes the challenge of attracting these young ladies with a pronounced management dimension. simulation ubisoft"
Alias,PS2,"if i had to define the alias ​​series, i would say that it is like a mix between james bond and nikita. the show, admirably constructed both from a script point of view and in terms of action, is for my part one of the series which will have had the most effect on me in recent years (disregarding millenium, d 'x-files, 24 hours chrono not to mention the show, the twilight zone) due to its breathtaking pace, its hand-picked actors and its cocktail of suspense, revelations, intense moments and surprising action scenes . in short, the series had to give rise to a video game adaptation and this is how a software called alias ​​was born from the hands of the developers of acclaim. action acclaim entertainment"
Alice: Madness Returns,PC,"do you have the impression that the small world of video games tends to go around in circles and produce titles that are too sanitized? however, there are games that escape the prevailing conformism. american mc gee's alice was a good example: the title gave us a trashy version of lewis carroll's novels by depicting a devastated wonderland and a totally crazy alice. the famous american mc gee returns today to the kitchen to offer us a sequel in the same spirit as his predecessor. adventure electronic arts"
Alice: Madness Returns,PS3,"do you have the impression that the small world of video games tends to go around in circles and produce titles that are too sanitized? however, there are games that escape the prevailing conformity. american mc gee's alice was a good example: the title gave us a trashy version of lewis carroll's novels by depicting a devastated wonderland and a totally crazy alice. the famous american mc gee returns today to the kitchen to offer us a sequel in the same spirit as his predecessor. adventure electronic arts"
Alice in Wonderland,Wii,little alice imagined by lewis carroll has grown up but she has retained her admiration for white rabbits. it is again by following this cursed creature that she will once again dive into the wacky universe that she had already explored. unfortunately things have not improved since her last visit and the red queen does not make life easy for her subjects. adventure disney interactive studios
Alice in Wonderland,DS,"by offering a different rereading of the work of lewis caroll, tim burton has taken over a universe in order to reshape it according to his own vision of things, his own sensitivity. it is therefore logical that the video game adaptation follows the same path. however, if etranges libellules wanted to preserve this gothic atmosphere through a real graphic bias, the developers did not neglect the substance. story of a forgotten dream... adventure disney interactive studios"
Alien: Isolation,PS4,"after the disarray that was aliens: colonial marines, sega had to react by completely overhauling its copy. the result was therefore not long in coming since in parallel with a change of studio, we went from an fps &#47; action in an infiltration-oriented game synonymous with a gigantic game of hide-and-seek, harking back in idea to ridley scott's very first feature film. daring bias for an exciting and logical concept in certain ways. now, in reality, does the result live up to the ambitions displayed by the creative assembly studio? here are some answers. shooter sega"
Alien: Isolation,PC,"after the disarray that was aliens: colonial marines, sega had to react by completely overhauling its copy. the result was therefore not long in coming since in parallel with a change of studio, we went from an fps &#47; action in an infiltration-oriented game synonymous with a gigantic game of hide-and-seek, harking back in idea to ridley scott's very first feature film. daring bias for an exciting and logical concept in certain ways. now, in reality, does the result live up to the ambitions displayed by the creative assembly studio? here are some answers. shooter sega"
Alien: Isolation,PS3,"after the disarray that was aliens: colonial marines, sega had to react by completely overhauling its copy. the result was therefore not long in coming since in parallel with a change of studio, we went from an fps &#47; action in an infiltration-oriented game synonymous with a gigantic game of hide-and-seek, harking back in idea to ridley scott's very first feature film. daring bias for an exciting and logical concept in certain ways. now, in reality, does the result live up to the ambitions displayed by the creative assembly studio? here are some answers. shooter sega"
Alien Hominid,PS2,"nostalgic for video games from 15 years ago, this test is for you. do you have fond memories of the arcade machines that you mechanically fed with 5 franc coins (or even 10 if it was pocket money day) so that you could continue your game without having to start from the beginning? do you also find that today's games lack challenge? i have the game you need. it's called alien hominid and it's super mega heavy. shooter zoo digital publishing"
Alien Syndrome,Wii,"there is no denying that sega truly excels in the delicate art of dusting off old, glorious licenses that have been forgotten by most. on today's menu, alien syndrome, a title which was born in 1987 and performed with talent on imposing arcade terminals. available on several other supports, from the amiga to the battery eater otherwise known as game gear, alien syndrome took almost 15 years to come back to us. and the main thing now is to see if this comeback is really worth it. role-playing sega"
Alien Syndrome,PSP,"there is no denying that sega truly excels in the delicate art of dusting off old, glorious licenses that have been forgotten by most. on today's menu, alien syndrome, a title which was born in 1987 and performed with talent on imposing arcade terminals. available on several other supports, from the amiga to the battery eater otherwise known as game gear, alien syndrome took almost 15 years to come back to us. and the main thing now is to see if this comeback is really worth it, or if it is more of a damp squib. role-playing sega"
Aliens: Colonial Marines,PS3,"poor, poor aliens license that no one wants to treat properly since the first two aliens vs predator. paradoxically, the work of ridley scott has been a major source of inspiration for video games but has always had difficulty feeling comfortable with it. colonial marines is probably the worst adaptation of alien, as bad in its gameplay as in respecting the canons of the universe. shooter sega"
Aliens: Colonial Marines,PC,"poor, poor aliens license that no one wants to treat properly since the first two aliens vs predator. paradoxically, the work of ridley scott has been a major source of inspiration for video games but has always had difficulty feeling comfortable with it. colonial marines is probably the worst adaptation of alien, as bad in its gameplay as in respecting the canons of the universe. shooter sega"
Aliens: Infestation,DS,"as is often the case with large licenses, we can count by the dozens the number of games adapted from the films or the aliens universe. as soon as the eighth passenger was released in cinemas, the xenomorphs became cult monsters, notably thanks to the disturbing design of h.r. giger. but all these video game adaptations have failed to pay homage to the saga as it should... what will happen to aliens infestation? action sega"
Aliens vs Predator,PC,"more than 10 years after delivering the illustrious alien vs predator on pc, rebellion is trying its luck again for a new episode. but in ten years, things happen. for example, a development studio can lose its splendor. shooter sega"
Aliens vs Predator,PS3,"more than 10 years after delivering the illustrious alien vs predator on pc, rebellion is trying its luck again for a new episode. but in ten years, things happen. for example, a development studio can lose its splendor. shooter sega"
Aliens vs Predator: Requiem,PSP,"aliens vs. aliens will be released on january 2. predator requiem in the theaters of all cinemas in france and navarre. and you can imagine that this new confrontation between the two most warlike races in the galaxy (with humans in the middle to look good) could not go without its video game adaptation. it remains to be seen if this one is as sexy as a predator in a loincloth, or if, on the contrary, it is more reminiscent of a puddle of drool left behind by a sickly alien. action vivendi games"
All-Star Baseball 2002,PS2,"it's a risky bet that acclaim is attempting here by offering us a simulation of baseball, a legendary sport in the united states but which remains relatively unpopular here. in any case, here is an ambitious game but nevertheless without competition and if we can rejoice for the fans of this sport we can however criticize a half-hearted implementation and a principle of play which will remain obscure for the novice. sports acclaim entertainment"
All-Star Baseball 2003,PS2,"expected as the messiah by fans, all star baseball 2003 follows in the footsteps of its ancestor by proving to be a title that will surely delight fans of the sport but leave neophytes in blissful perplexity. a complete title but whose success is not guaranteed. sports acclaim entertainment"
All-Star Baseball 2004,PS2,"as unpopular as it is in france (much to my regret, by the way), baseball continues on its virtual merry way with the 2004 edition of all star baseball. it's still published by acclaim and it's still incomprehensible for novices. sports acclaim entertainment"
Alone in the Dark,PS2,"the grandpa of survival horror, edward carnby, still hasn't found the switch. he returns to us in small form in a fifth episode of alone in the dark. this new adventure takes place today in a new york disfigured by strange cracks. the famous inspector of the strange is counting on you to help him shed light on the paranormal phenomena that are shaking central park. adventure atari"
Alone in the Dark,Wii,"the grandpa of survival horror, edward carnby, still hasn't found the switch. he returns to us in small form in a fifth episode of alone in the dark. this new adventure takes place today in a new york disfigured by strange cracks. the famous inspector of the strange is counting on you to help him shed light on the paranormal phenomena that are shaking central park. adventure atari"
Alone in the Dark,PC,"although edward carnby has lived his entire life in the shadows, he does not despair of finding the light at the end of the tunnel. so, after having faced lovecraftian fear and biohazardous terrors, here he is today roaming the streets of the big apple to confront a demonic entity. or when alone in the dark meets ghostbusters... adventure atari"
Alone in the Dark: Inferno,PS3,"steeped in good intentions, the return of alone in the dark will have been a nice cold shower for some, notwithstanding the real qualities of the work in question. after listening to the complaints and other pleas from players, eden revised her copy with this ps3 version by giving her baby the subtitle inferno. now, is that enough to shout to anyone who will listen that this version is by far the best on the market? adventure atari"
Alpha Protocol,PC,"many times postponed, alpha protocol ventures into original territory: the contemporary rpg immersed in the wonderful world of espionage. an audacity which is to its credit but audacity is not everything and you have to know how to assume your ambitions. role-playing sega"
Alpha Protocol,PS3,"many times postponed, alpha protocol ventures into original territory: the contemporary rpg immersed in the wonderful world of espionage. an audacity which is to its credit but audacity is not everything and you have to know how to assume your ambitions. role-playing sega"
Alter Echo,PS2,"alter echo is a bit of an archetype of the missed opportunity between good ideas and good execution. rather original, this thrilling beat'em all suffers greatly from its technical aspect and perhaps even from its design which is as strange as it is confusing and repetitive. it's a shame. shooter thq"
Altered Beast: Guardian of the Realms,GBA,"have you ever opened your eyes and found yourself covered in hair, feathers or scales, howling at the moon your hatred of humankind? no, i hope not... however, if this has crossed your mind, it is an experience that altered beast: guardian of the realms could well provide you with. coming from the well-known altered beast range, this title will take you back into an antiquity already in ruins, to carve monsters throughout a so-to-speak olympic journey. ready ? fire ! mutate! action thq"
Alvin and the Chipmunks,Wii,"don't tell me you've never heard of alvin and his two friends, simon and theodore? but yes, you know, these strange half-man, half-squirrel creatures called chipmunks, straight out of the late 50s to sing us lullabies with their shrill voices. and you've probably heard them shouting in the corridors of your favorite cinema in recent weeks, since the guys have just made their big comeback. but who says film, often says video game, and unfortunately, that's where things take a very bad turn. misc eidos interactive"
Alvin and the Chipmunks,Wii,"after a few appearances on various consoles, alvin and his merry friends are now offering themselves a little delirium on wii with a rather nice, although dispensable, dance game. misc eidos interactive"
Alvin and the Chipmunks,PS2,"don't tell me you've never heard of alvin and his two friends, simon and theodore? but yes, you know, these strange half-man, half-squirrel creatures called chipmunks, straight out of the late 50s to sing us lullabies with their shrill voices. and you've probably heard them shouting in the corridors of your favorite cinema in recent weeks, since the guys have just made their big comeback. but who says film, often says video game, and unfortunately, that's where things take a very bad turn. misc brash entertainment"
Alvin and the Chipmunks,DS,"don't tell me you've never heard of alvin and his two friends, simon and theodore? but yes, you know, these strange half-man, half-squirrel creatures called chipmunks, straight out of the late 50s to sing us lullabies with their shrill voices. and you've probably heard them shouting in the corridors of your favorite cinema in recent weeks, since the guys have just made their big comeback. but who says film, often says video game, and unfortunately, that's where things take a very bad turn. misc brash entertainment"
